Date,State,Town,Longitude,Latitude,Sighting
03/19/24,TX,Forney,-96.4,32.7,5
03/18/24,TX,Driftwood,-98,30.1,8
03/18/24,TX,Weimar,-96.8,29.7,1
03/17/24,TX,Houston,-95.6,29.8,3
03/17/24,TX,Driftwood,-98,30.1,22
03/16/24,TX,Driftwood,-98,30.1,23
03/15/24,TX,Driftwood,-98,30.1,23
03/14/24,FL,Miami,-80.2,25.7,3
03/14/24,TX,Driftwood,-98,30.1,31
03/14/24,TX,Canyon Lake,-98.3,29.9,2
03/13/24,TX,Driftwood,-98,30.1,86
03/12/24,TAM,Cdad. Victoria,-99.2,23.7,1
03/12/24,TAM,Chamal Viejo,-99.2,22.8,1
03/12/24,LA,Patterson,-91.3,29.7,20
03/12/24,TX,Driftwood,-98,30.1,24
03/12/24,TX,Driftwood,-98,30.1,24
03/12/24,TX,Driftwood,-98,30.1,58
03/11/24,TX,Driftwood,-98,30.1,6
03/08/24,TX,Canyon Lake,-98.3,29.9,10
03/08/24,TX,Canyon Lake,-98.3,29.9,10
03/08/24,TX,Canyon Lake,-98.3,29.9,10
03/07/24,FL,Miami,-80.2,25.7,2
03/07/24,TX,Driftwood,-98,30.1,26
02/28/24,FL,Miami,-80.2,25.8,1
02/27/24,FL,Miami,-80.2,25.7,15
02/26/24,FL,Miami,-80.2,25.7,8
02/26/24,FL,Rotonda West,-82.2,26.9,2
02/06/24,FL,Miami,-80.2,25.8,5
01/14/24,FL,Delray Beach,-80.1,26.4,0
01/06/24,FL,Sarasota,-82.5,27.4,6
